t,Date,XOM(t),CVX(t),COP(t),EOG(t),XOM(t-1),CVX(t-1),COP(t-1),EOG(t-1),XOM(t-2),CVX(t-2),COP(t-2),EOG(t-2),XOM(t-3),CVX(t-3),COP(t-3),EOG(t-3),Y(t)
1,1/22/16,76.57,83.540001,37.669998,66.019997,74.099998,81.050003,36.91,63.75,73.18,78.980003,34.75,60.240002000000004,76.400002,81.510002,36.400002,60.98,61.59
2,1/25/16,73.980003,80.889999,34.200001,61.59,76.57,83.540001,37.669998,66.019997,74.099998,81.050003,36.91,63.75,73.18,78.980003,34.75,60.240002000000004,66.029999
3,1/26/16,76.699997,84.120003,35.349998,66.029999,73.980003,80.889999,34.200001,61.59,76.57,83.540001,37.669998,66.019997,74.099998,81.050003,36.91,63.75,66.07
4,1/27/16,75.290001,83.290001,36.209998999999996,66.07,76.699997,84.120003,35.349998,66.029999,73.980003,80.889999,34.200001,61.59,76.57,83.540001,37.669998,66.019997,68.629997
5,1/28/16,76.989998,85.91999799999999,38.02,68.629997,75.290001,83.290001,36.209998999999996,66.07,76.699997,84.120003,35.349998,66.029999,73.980003,80.889999,34.200001,61.59,71.019997
6,1/29/16,77.849998,86.470001,39.080002,71.019997,76.989998,85.91999799999999,38.02,68.629997,75.290001,83.290001,36.209998999999996,66.07,76.699997,84.120003,35.349998,66.029999,69.089996
7,2/1/16,76.290001,85.290001,38.599998,69.089996,77.849998,86.470001,39.080002,71.019997,76.989998,85.91999799999999,38.02,68.629997,75.290001,83.290001,36.209998999999996,66.07,67.160004
8,2/2/16,74.589996,81.239998,36.59,67.160004,76.290001,85.290001,38.599998,69.089996,77.849998,86.470001,39.080002,71.019997,76.989998,85.91999799999999,38.02,68.629997,70.190002
9,2/3/16,78.480003,84.620003,38.630001,70.190002,74.589996,81.239998,36.59,67.160004,76.290001,85.290001,38.599998,69.089996,77.849998,86.470001,39.080002,71.019997,68.440002
10,2/4/16,79.83000200000001,84.790001,35.32,68.440002,78.480003,84.620003,38.630001,70.190002,74.589996,81.239998,36.59,67.160004,76.290001,85.290001,38.599998,69.089996,67.059998
11,2/5/16,80.08000200000001,82.879997,32.900002,67.059998,79.83000200000001,84.790001,35.32,68.440002,78.480003,84.620003,38.630001,70.190002,74.589996,81.239998,36.59,67.160004,68.43
12,2/8/16,81.160004,85.989998,34.43,68.43,80.08000200000001,82.879997,32.900002,67.059998,79.83000200000001,84.790001,35.32,68.440002,78.480003,84.620003,38.630001,70.190002,65.589996
13,2/9/16,80.08000200000001,82.91999799999999,33.580002,65.589996,81.160004,85.989998,34.43,68.43,80.08000200000001,82.879997,32.900002,67.059998,79.83000200000001,84.790001,35.32,68.440002,65.790001
14,2/10/16,79.349998,83.040001,32.34,65.790001,80.08000200000001,82.91999799999999,33.580002,65.589996,81.160004,85.989998,34.43,68.43,80.08000200000001,82.879997,32.900002,67.059998,65.559998
