t,Date,XOM,CVX,COP,EOG
1,1/19/16,76.400002,81.510002,36.400002,60.98
2,1/20/16,73.18,78.980003,34.75,60.240002000000004
3,1/21/16,74.099998,81.050003,36.91,63.75
4,1/22/16,76.57,83.540001,37.669998,66.019997
5,1/25/16,73.980003,80.889999,34.200001,61.59
6,1/26/16,76.699997,84.120003,35.349998,66.029999
7,1/27/16,75.290001,83.290001,36.209998999999996,66.07
8,1/28/16,76.989998,85.91999799999999,38.02,68.629997
9,1/29/16,77.849998,86.470001,39.080002,71.019997
10,2/1/16,76.290001,85.290001,38.599998,69.089996
11,2/2/16,74.589996,81.239998,36.59,67.160004
12,2/3/16,78.480003,84.620003,38.630001,70.190002
13,2/4/16,79.83000200000001,84.790001,35.32,68.440002
14,2/5/16,80.08000200000001,82.879997,32.900002,67.059998
15,2/8/16,81.160004,85.989998,34.43,68.43
16,2/9/16,80.08000200000001,82.91999799999999,33.580002,65.589996
17,2/10/16,79.349998,83.040001,32.34,65.790001
18,2/11/16,79.599998,82.989998,31.879998999999998,65.559998
19,2/12/16,81.029999,85.43,32.900002,67.699997
20,2/16/16,81.220001,84.809998,32.759997999999996,67.889999
21,2/17/16,82.0,88.309998,33.91,70.82
22,2/18/16,82.449997,86.730003,33.700001,69.459999
23,2/19/16,82.5,86.5,32.869999,69.709999
24,2/22/16,82.389999,88.82,34.450001,72.209999
25,2/23/16,81.230003,84.910004,32.919998,68.019997
26,2/24/16,81.519997,85.269997,32.959998999999996,69.519997
27,2/25/16,82.010002,85.300003,33.060001,68.5
28,2/26/16,81.75,84.349998,34.119999,67.5
29,2/29/16,80.150002,83.440002,33.830002,64.739998
30,3/1/16,81.279999,86.129997,34.459998999999996,65.019997
31,3/2/16,82.699997,87.139999,36.490002000000004,67.0
32,3/3/16,82.400002,87.529999,38.560001,69.25
33,3/4/16,82.290001,87.93,41.119999,71.410004
34,3/7/16,84.459999,90.66999799999999,41.400002,75.470001
35,3/8/16,82.629997,88.739998,38.619999,70.559998
36,3/9/16,82.400002,92.82,39.049999,72.260002
37,3/10/16,82.18,93.940002,39.029999,72.269997
38,3/11/16,82.190002,94.58000200000001,40.52,75.18
39,3/14/16,82.410004,94.260002,40.009997999999996,74.779999
40,3/15/16,82.82,94.269997,39.830002,73.610001
41,3/16/16,82.870003,95.400002,41.869999,75.040001
42,3/17/16,84.099998,96.889999,43.009997999999996,76.5
43,3/18/16,84.199997,97.690002,43.02,75.629997
44,3/21/16,83.620003,96.440002,42.580002,75.959999
45,3/22/16,84.120003,95.5,41.919998,75.900002
46,3/23/16,83.75,93.589996,39.849998,74.339996
47,3/24/16,83.980003,94.849998,40.040001000000004,74.300003
48,3/28/16,84.220001,94.68,39.68,74.529999
49,3/29/16,84.529999,95.32,39.619999,75.449997
50,3/30/16,84.519997,95.25,40.080002,73.660004
51,3/31/16,83.589996,95.400002,40.27,72.58000200000001
52,4/1/16,82.959999,94.260002,39.779999,72.040001
53,4/4/16,83.160004,93.43,39.099998,70.309998
54,4/5/16,82.209999,92.66999799999999,39.040001000000004,70.540001
55,4/6/16,83.309998,94.839996,40.75,71.220001
56,4/7/16,82.370003,94.790001,40.310001,71.449997
57,4/8/16,83.209999,96.33000200000001,41.23,73.470001
58,4/11/16,83.32,95.239998,41.189999,74.010002
59,4/12/16,84.349998,97.510002,43.470001,77.510002
60,4/13/16,84.83000200000001,97.599998,43.580002,77.779999
61,4/14/16,85.43,97.980003,44.220001,77.809998
62,4/15/16,84.970001,97.230003,43.700001,75.709999
63,4/18/16,85.779999,98.699997,45.0,77.440002
64,4/19/16,86.209999,100.5,47.060001,79.129997
65,4/20/16,86.800003,101.690002,47.080002,79.370003
66,4/21/16,86.790001,101.400002,46.23,79.160004
67,4/22/16,87.529999,102.010002,47.619999,80.91999799999999
68,4/25/16,87.33000200000001,101.510002,46.27,79.760002
69,4/26/16,87.629997,102.290001,48.080002,82.779999
70,4/27/16,88.459999,103.849998,48.110001000000004,84.510002
71,4/28/16,88.029999,102.400002,47.669998,81.889999
72,4/29/16,88.400002,102.18,47.790001000000004,82.620003
